feature0	ihlal
feature1	bilgi
feature2	sorgu
feature3	ol
feature4	belir
feature5	ceza
feature6	tutar
feature7	kul
feature8	tarih
feature9	yasal
feature10	var
feature11	yeter
feature12	gir
feature13	ifade
feature14	helal
feature15	pazar
feature16	organ
feature17	ekim
feature18	pota
feature19	buy
feature20	zirve
feature21	fuar
feature22	kurul
feature23	yunus
feature24	et
feature25	denet
feature26	sert
feature27	vere
feature28	dolar
feature29	giyim
feature30	hacim
feature31	onum
feature32	bul
feature33	bekle
feature34	taraf
feature35	yasa
feature36	topla
feature37	un
feature38	buyur
feature39	de
feature40	alan
feature41	sirke
feature42	iki
feature43	katla
feature44	sebep
feature45	rant
feature46	arala
feature47	risk
feature48	sik
feature49	gerek
feature50	vurgu
feature51	kurum
feature52	kabul
feature53	ver
feature54	devam
feature55	ger
feature56	getir
feature57	neden
feature58	arz
feature59	temel
feature60	gayri
feature61	ortak
feature62	radar
feature63	hayat
feature64	gece
feature65	ilk
feature66	karma
feature67	proje
feature68	ege
feature69	dun
feature70	bin
feature71	metre
feature72	sahip
feature73	tamam
feature74	konut
feature75	katil
feature76	konak
feature77	sinir
feature78	yer
feature79	kent
feature80	et
feature81	ate
feature82	genel
feature83	mu
feature84	arazi
feature85	banka
feature86	rampa
feature87	talep
feature88	bas
feature89	memnu
feature90	hedef
feature91	bir
feature92	fazla
feature93	hakan
feature94	tart
feature95	on
feature96	ruh
feature97	bek
feature98	ilim
feature99	vergi
feature100	indir
feature101	yarat
feature102	yeni
feature103	kanal
feature104	sor
feature105	paket
feature106	isle
feature107	dev
feature108	git
feature109	ilave
feature110	bil
feature111	yan
feature112	aya
feature113	ortay
feature114	is
feature115	peron
feature116	karar
feature117	azal
feature118	al
feature119	kolay
feature120	zor
feature121	ede
feature122	kriz
feature123	dile
feature124	yap
feature125	bakan
feature126	bulun
feature127	ara
feature128	sen
feature129	tem
feature130	son
feature131	telek
feature132	biri
feature133	herk
feature134	asa
feature135	kimya
feature136	mehdi
feature137	ek
feature138	alkol
feature139	sorun
feature140	form
feature141	tutun
feature142	yakin
feature143	baki
feature144	dolay
feature145	bol
feature146	sunum
feature147	hafta
feature148	iddia
feature149	tekel
feature150	varit
feature151	zaman
feature152	o
feature153	yok
feature154	ret
feature155	eski
feature156	faal
feature157	konu
feature158	alt
feature159	sahte
feature160	tek
feature161	elde
feature162	fayda
feature163	engel
feature164	kamp
feature165	soru
feature166	kadro
feature167	devre
feature168	sur
feature169	veda
feature170	eviç
feature171	aday
feature172	vekil
feature173	seyit
feature174	ali
feature175	mamul
feature176	izin
feature177	yetki
feature178	belge
feature179	takip
feature180	etil
feature181	metan
feature182	aksak
feature183	okul
feature184	done
feature185	gel
feature186	etkin
feature187	ihale
feature188	dahil
feature189	sut
feature190	ekmek
feature191	israf
feature192	plan
feature193	alim
feature194	toplu
feature195	boyut
feature196	ithal
feature197	ham
feature198	deri
feature199	kurk
feature200	odun
feature201	keres
feature202	hamur
feature203	doku
feature204	elyaf
feature205	bu
feature206	ur
feature207	lira
feature208	deste
feature209	miyar
feature210	sala
feature211	rakam
feature212	trend
feature213	i
feature214	erdem
feature215	fiyat
feature216	suret
feature217	kazan
feature218	koru
feature219	para
feature220	makro
feature221	not
feature222	cevir
feature223	kredi
feature224	paye
feature225	duyur
feature226	sonra
feature227	durum
feature228	servi
feature229	yar
feature230	katil
feature231	haber
feature232	zafer
feature233	hak
feature234	savun
feature235	nakit
feature236	erken
feature237	fon
feature238	oynak
feature239	rapor
feature240	sok
feature241	ton
feature242	yaban
feature243	tepki
feature244	porte
feature245	ayni
feature246	anlat
feature247	cer
feature248	recep
feature249	grup
feature250	rahim
feature251	sergi
